:START_ID,jobs,:END_ID,:TYPE
f0c431bc82afb5eb71acdc40f71bf528,执行董事,000009,employ_of
2941413de6aa7f038c060c59531bf2e4,董事,000009,employ_of
a910f34921e09b21955ad8ae04a3637d,独立董事,000009,employ_of
615f21a714ca4b7c499f30ae81176681,独立董事,000009,employ_of
de89943b70d39dc8e2f2564e1680d2c6,独立董事,000009,employ_of
362cd98417419c1dd2e8c7c92da141d9,职工董事,000009,employ_of
ce07c45a9254bee7f8d5baabf8b9c921,职工董事,000009,employ_of
7df62bf81eb5af9a3af719e1540fe4ef,董事长/董事,000010,employ_of
c260232d168dc31d886e82be8e430389,董事,000010,employ_of
572c3c59ac47881dd4f381504086e7d0,董事,000010,employ_of
7c32ff1e945cb421fd2782e6be120e23,董事,000010,employ_of
b1b8831888cd75fe0089742222ccf806,董事,000010,employ_of
92af9f0ccbf378593a407800610d96c0,董事,000010,employ_of
94075c475921d5bb7a2d520f868a2970,独立董事,000010,employ_of
24e268b905e584e81459b4d63baad642,独立董事,000010,employ_of
1c304ab804f7e4bf20cffee34acf83f7,独立董事,000010,employ_of
ac12cb7cfed88a5dc0c453ea2bf5088d,独立董事,000010,employ_of
8b4a748f5cc331db17ca2d6c2489b39c,董事长/董事,000011,employ_of
4566ed44e43cf50304589d47b43e7560,董事,000011,employ_of
d40e540acb1f3f0e914f4edfd7406947,董事,000011,employ_of
e0aa57315e3857a67e0299567c317911,董事,000011,employ_of
b30384d94b2ca603bcf4f9185b41edb3,董事,000011,employ_of
f8682e078ff2335342ec2faccf248df8,董事,000011,employ_of
9f890c3ccb4971d891e328eada964ba0,独立董事,000011,employ_of
8648e6c43b328ce65f26efa15ff1da24,独立董事,000011,employ_of
9e160972bb610ff3f68652b492da3fa1,独立董事,000011,employ_of
222bc017c8e9f5498d6966af5f45c851,董事长/董事,000012,employ_of
60ee51e1445b005864d4a4e66b250634,副董事长/董事,000012,employ_of
9f014cf49f6a8a6217b4ab29cb3ee5bb,董事,000012,employ_of
ab56e129fadac216057412ad3679a164,董事,000012,employ_of
835ef99497a3f88fc59459efaf57f421,董事,000012,employ_of
aa0360040173db79d2b5557679e7e805,董事,000012,employ_of
433a245703d7c64557608b226445472c,独立董事,000012,employ_of
159cdf435cdd0768e2251c6d34229989,独立董事,000012,employ_of
a47a169ce6256d235a042e45bee918b3,独立董事,000012,employ_of
db07b614a2c28b8491f74706b7c87c26,董事长/董事,000013,employ_of
5adfa2854a27ad78623d59952c80482c,董事,000013,employ_of
42ba2f2ac6553341b485a7682562e918,董事,000013,employ_of
5fe95f6dfd4aa8c95a67adf40aef84c1,董事,000013,employ_of
6fe72cd6c4837f4d42cb9af964bb6f8e,董事,000013,employ_of
4cf40db9cf12e35066557b5fc695ba1b,董事长/董事,000014,employ_of
e590b664a9b63a8ab2106ae8e0d9094c,董事,000014,employ_of
08d170770e0cea8d1dc476f068898769,董事,000014,employ_of
98ad95fdc550cc191fc4aa2fffca4994,董事,000014,employ_of
17a141e7a4410fca5f9bf25660332223,董事,000014,employ_of
0996927f053be64bc32cbb8571297235,董事,000014,employ_of
9665224d65f61d18c17965a9d293198a,独立董事,000014,employ_of
0ae8de27e19e94b297966e4b66fc4021,独立董事,000014,employ_of
031c2b594693ee9b4fa639293f7ea586,独立董事,000014,employ_of
2fb73abbe80fbe93a0614df221621740,董事长/董事,000015,employ_of
ddceed7f0dca88573437781f7a45d259,副董事长/董事,000015,employ_of
46765c9095f021750ca3ed4d9ee3c843,董事,000015,employ_of
702426e36c3361d1173d70bfa47995b6,董事,000015,employ_of
726aa4f7d4cb8619aa2ef412f47aceb8,董事,000015,employ_of
a00c8a445626c911cad8dcfe9215e6b4,董事,000015,employ_of
c474c411a311102456985d9dac042e62,独立董事,000015,employ_of
4d0e16f856991b47747048c3ecfeaa46,独立董事,000015,employ_of
8a189246e0b8f3352211e1fcd2797482,独立董事,000015,employ_of
ae24446f964d8e7dcef52a5e63288868,董事局主席/董事,000016,employ_of
3729b4cb0454975be99aeb988a9f7add,董事,000016,employ_of
0cfeb914756dac3e404cd1064a8ff39d,董事,000016,employ_of
d285922eca39f519749b9f984198ec63,董事,000016,employ_of
1aa5d987ef664fe78b780135789f8185,独立董事,000016,employ_of
10bf2d5c6abb4708d9c0e8b32dfcf096,独立董事,000016,employ_of
bae3a7b31b76583b7d5a7f161473608d,独立董事,000016,employ_of
a366af476c29240d9f79600ab67bf1c6,董事长/董事,000018,employ_of
e8d61e641274c41140d2fddb158c8875,副董事长/董事,000018,employ_of
1c3bc06cd253a14acb10959d7f510d37,副董事长/董事,000018,employ_of
f1c2af0ba6334df68f97e7e23af74c37,董事,000018,employ_of
f029b6f87e2f6210c66885dcc50e6ae6,董事,000018,employ_of
17dfb38a28a91f78e2daf77b372bb088,董事,000018,employ_of
c677fbaea5f9f53cb7c3eb6acff194ee,独立董事,000018,employ_of
016c4beea140364d8a389da267763d05,独立董事,000018,employ_of
56cd91bf88fe07ae99437c5293ee82e1,独立董事,000018,employ_of
071aea64a5d3eb1cb01fec20b3ba436d,董事长/董事,000019,employ_of
56c54a081c2e4184d62cf795b9056e32,董事,000019,employ_of
5a476ac05b4493e6b5334c8728b1dea3,董事,000019,employ_of
fc0062ea9ca14ec0e245a1c84a287aa7,董事,000019,employ_of
e51507b99b65e3d62e126db356804f5a,董事,000019,employ_of
ff48d6c492e4b37e106dcd4bb192aaec,董事,000019,employ_of
17638666e088428bf82193a48e9aa3ac,独立董事,000019,employ_of
a2896d529dbd5852bf9c6ae92d294db8,独立董事,000019,employ_of
a13f9ee7821020d5188f6a54ae8788cc,独立董事,000019,employ_of
c37f333e167d2bb52fa1637bae1e2b06,董事长/董事,000020,employ_of
95e217ea3799b964d7833c0d711e5816,副董事长/董事,000020,employ_of
2e4654b96309a0765bca83b6a68428a9,董事,000020,employ_of
126c2ef38d4b31aa9ac839909d9cfd41,独立董事,000020,employ_of
643398bbc5fedc5d8a955f0ff59dcf03,独立董事,000020,employ_of
146aa45b7d6df085d5c8f2b4871740bb,独立董事,000020,employ_of
b47bd46e85a82373368acd10f112c5d5,董事长/董事,000021,employ_of
4268a860599eb7a362adda1fefedd18f,副董事长/董事,000021,employ_of
0eb289cdd5556e147ad17026a8a130da,董事,000021,employ_of
0079cdde507144605395471c25ac1aaa,董事,000021,employ_of
b778c38e046bf74ae535eb251c67b698,董事,000021,employ_of
60f14b06fbc6849b7182d9c5c37b44c3,董事,000021,employ_of
0a9396a2f66db7ab02105cf228f38162,独立董事,000021,employ_of
66b286b65b1fdd1833eeccd6bbd68461,独立董事,000021,employ_of
d5c0a3d23194676cb1fd9b209868b99e,独立董事,000021,employ_of
956b7fdf94247666a88ff50b17f6eb81,董事长/董事,000022,employ_of
e919e25b7745b76b815f1687ff05a106,副董事长/董事,000022,employ_of
1bbd0d6816a7811ee2206e33c0e31d14,董事,000022,employ_of
d0ef07ea898b7c978b1c1209ac671b63,董事,000022,employ_of
e6d27151ee650b639d9d97ebddd3957d,董事,000022,employ_of
d85c6f5d9f4ea0439e5193ab0c797191,董事,000022,employ_of
6dfd36ca2733b5db7f0676ce121e6f5e,独立董事,000022,employ_of
c3c9bf7edc46874ef4af3b672af0d9ed,独立董事,000022,employ_of
1c719af580a16af20222b27f1d5eecb6,独立董事,000022,employ_of
0f56c1a3ecc38cb9530044f22df80773,董事长/董事,000023,employ_of
94606b8c538b501af1857473984cfcf7,董事,000023,employ_of
423daf84653e3469d54f75c105ea01f4,董事,000023,employ_of
b8e921fd066ab2269d07a2b10d97ddd8,董事,000023,employ_of
